Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,15. 9. 2025
INVENTURA,Brez naslova,MURSKA SOBOTA,6.32,4,23. 9. 2025,DOPOLDAN,23. 9. 2025
DELO Z OTROKI,POMOČNIK/CA TRENERJA,ŠENTRUPERT NA DOLENJSKEM,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,30. 9. 2025
STREŽBA,Brez naslova,GORNJA RADGONA,7.12,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
INFORMATOR/KA,Brez naslova,LJUBLJANA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,8. 9. 2025
POMOČ PRI PRODAJI,ZLAGANJE,ČRNOMELJ,7.74,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
POMOČ V KUHINJI,POMIVALEC,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
FIZIČNA DELA,KMETIJSKA DELA,ŠENČUR,8.0,4,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,10.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,29. 8. 2025
FIZIČNA DELA,Brez naslova,MARIBOR,8.61,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
DELO NA RECEPCIJI,Brez naslova,IDRIJA,9.0,Brez podatka,PO DOGOVORU,IZMENSKO,29. 8. 2025
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,7.0,4,PO DOGOVORU,IZMENSKO,29. 8. 2025
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2025
ADMINISTRATIVNA DELA,POMOČ UPORABNIKOM,LJUBLJANA,9.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO V LOGISTIKI,ADMINISTRATIVNA DELA,ZGORNJI BRNIK,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
KOMERCIALNA DELA,Brez naslova,HRASTNIK,7.0,Brez podatka,1 MESEC,POPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,Brez naslova,SEVNICA,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,15. 9. 2025
POMOČ NA PODROČJU MARKETINGA,Brez naslova,ŠENČUR,9.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,8. 9. 2025
STREŽBA,Brez naslova,KRANJ,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
KOZMETIČNE STORITVE,GELIRANJE NOHTOV,ŠKOFJA VAS,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,LOGATEC,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,KRŠKO,7.12,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
DELO Z OTROKI,Brez naslova,DEBELI RTIČ,7.74,Brez podatka,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
VADITELJ/ICA,DELO Z OTROKI,VRANSKO,12.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,8. 9. 2025
FIZIČNA DELA,Brez naslova,MARIBOR,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POMOČNIK VZGOJITELJA/VZGOJITELJICE,DELO Z OTROKI,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
TRENER/KA,Brez naslova,LJUBLJANA,17.21,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
DELO NA RAČUNALNIKU,TESTIRANJE PROGRAMOV,MARIBOR,7.31,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČ PRI PRODAJI,UREJANJE SPLETNE TRGOVINE,LJUBLJANA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
PROMOCIJA,TELEKOMUNIKACIJSKE STORITVE,LJUBLJANA,8.17,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POUČEVANJE,Brez naslova,LJUBLJANA,15.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA,Brez naslova,POLENŠAK,8.0,2,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
POUČEVANJE,Brez naslova,LJUBLJANA,15.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POUČEVANJE,Brez naslova,LJUBLJANA,9.81,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
ADMINISTRATIVNA DELA,ASISTENT/KA V PRODAJI,LJUBLJANA,7.31,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO NA RECEPCIJI,DELO NA LETNEM BAZENU,PORTOROŽ,7.14,Brez podatka,2 MESECA,IZMENSKO,Brez podatka
DELO V TISKARNI,DELO V KNJIGOVEZNICI,LJUBLJANA,7.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
